Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
PRKRIR	10	-0.17809	-1.7179	0.0043048	0.042373	0.08582	0.78798	-0.52208	-5.0293	0	0	4.9219e-07	1.6104e-05	-0.18648	-1.7825	0.02712	0.21356	0.074669	0.27039
SLC23A1	10	-0.070096	-0.87663	0.27938	0.58154	0.38069	0.99951	0.0002282	0.0028581	0.98666	0.99479	0.99772	1	-0.16188	-2.0073	0.040895	0.26016	0.044722	0.20613
DBH	10	-0.080831	-0.77975	0.20017	0.49258	0.43554	0.99951	-0.11567	-1.1163	0.10934	0.309	0.26428	0.64624	0.11278	1.0846	0.7882	0.91738	0.27808	0.54978
CAT	10	0.036153	0.60485	0.29574	0.59843	0.54528	0.99951	0.074035	1.239	0.26216	0.51176	0.21533	0.58918	-0.16347	-2.7239	0.038743	0.25281	0.006452	0.065165
TXNRD1	10	0.059244	0.81137	0.1313	0.39559	0.41716	0.99951	0.07078	0.96968	0.28239	0.52861	0.33221	0.70995	-0.11343	-1.5471	0.10977	0.41872	0.12184	0.3538
KSR1	10	-0.065173	-0.8016	0.32372	0.61995	0.42279	0.99951	-0.062386	-0.76773	0.38226	0.62827	0.44265	0.77747	-0.23679	-2.8944	0.0064572	0.090361	0.0037986	0.046688
PSTPIP1	10	-0.018156	-0.30662	0.98063	0.99303	0.75914	0.99951	-0.053066	-0.89624	0.45114	0.69266	0.37013	0.73713	-0.11249	-1.8971	0.11106	0.4202	0.057814	0.23397
HDC	10	0.024077	0.32424	0.42789	0.71695	0.74575	0.99951	0.066559	0.89786	0.31253	0.55454	0.36926	0.73693	-0.17563	-2.3384	0.031425	0.22393	0.019367	0.12567
UROD	10	-0.073379	-0.56308	0.25484	0.55587	0.57338	0.99951	-0.5555	-4.2588	0	0	2.0553e-05	0.00042629	-0.033931	-0.25956	0.36892	0.69845	0.7952	0.91812
GABRB3	10	-0.0095932	-0.12157	0.89453	0.96175	0.90324	0.99951	0.046181	0.58561	0.47223	0.71188	0.55814	0.84219	-0.053943	-0.68086	0.28756	0.64981	0.49596	0.74764
PDE3A	10	-0.013888	-0.18615	0.95824	0.98934	0.85232	0.99951	0.098495	1.3206	0.13517	0.35321	0.18663	0.54809	-0.10894	-1.4566	0.1201	0.44286	0.14524	0.38869
WEE1	10	-0.4329	-2.7351	0	0	0.0062356	0.14772	-0.55847	-3.5306	0	0	0.00041456	0.0057666	-0.065615	-0.41125	0.24796	0.61017	0.68089	0.85686
ACTR2	10	-0.25493	-1.5432	0	0	0.12278	0.87757	-0.52992	-3.2053	0	0	0.0013494	0.015832	-0.45756	-2.7386	0	0	0.0061694	0.063134
STK24	10	0.15781	1.6088	0	0	0.10766	0.84232	0.30992	3.1621	0	0	0.0015661	0.017834	0.077659	0.78818	0.99656	0.99785	0.43059	0.70368
MATK	10	-0.14136	-1.8082	0.023246	0.15211	0.070581	0.72871	-0.25676	-3.2846	0.00086096	0.0074349	0.0010215	0.012621	0.020393	0.2604	0.64873	0.86697	0.79455	0.91812
AKAP9	10	0.039803	0.36412	0.26173	0.56506	0.71577	0.99951	0.083071	0.76228	0.21438	0.45856	0.44589	0.77747	0.011382	0.10241	0.59148	0.82466	0.91843	0.97267
PRKAB1	10	0.02785	0.31071	0.37753	0.67124	0.75602	0.99951	-0.066911	-0.7468	0.34912	0.59414	0.45519	0.78388	-0.022656	-0.25081	0.42015	0.73328	0.80196	0.92043
PPP4C	10	-0.25697	-1.2353	0	0	0.21673	0.99951	-0.53432	-2.5665	0	0	0.010274	0.081177	-0.25526	-1.2175	0.0051657	0.082759	0.22343	0.49588
SUCNR1	10	0.017686	0.1015	0.50108	0.76228	0.91915	0.99951	0.03428	0.197	0.58803	0.78204	0.84382	0.95582	0.21199	1.2091	0.31425	0.67455	0.22662	0.49995
GRM7	10	0.058925	0.97861	0.13259	0.39615	0.32777	0.99951	0.11164	1.8546	0.092122	0.2861	0.063658	0.29935	-0.21991	-3.6409	0.010331	0.12371	0.00027167	0.0073383
PPP1R3F	10	-0.0041065	-0.043427	0.82178	0.92267	0.96536	0.99951	0.079969	0.84583	0.23117	0.47861	0.39765	0.74857	0.18215	1.9247	0.43392	0.74282	0.054266	0.22673
SULT2A1	10	-0.06182	-0.82724	0.35945	0.65388	0.4081	0.99951	0.0037496	0.05022	0.94102	0.9694	0.95995	0.98843	-0.15864	-2.1103	0.043048	0.26385	0.03483	0.18111
SLC25A4	10	-0.021357	-0.2991	0.92208	0.97408	0.76486	0.99951	0.043242	0.60672	0.5071	0.73441	0.54404	0.83829	-0.13618	-1.8896	0.068446	0.33474	0.058818	0.23598
RALA	10	-0.034028	-0.4041	0.71933	0.88741	0.68614	0.99951	0.035533	0.42211	0.57426	0.77468	0.67295	0.89688	-0.31372	-3.7095	0.00043048	0.011494	0.00020765	0.0058117
MAPK13	10	0.026961	0.41809	0.38958	0.68148	0.67588	0.99951	0.043443	0.67387	0.50495	0.73221	0.5004	0.81175	-0.055881	-0.86387	0.27938	0.64229	0.38766	0.67082
MST4	10	0.056069	0.4604	0.14722	0.41657	0.64523	0.99951	0.16662	1.3697	0.011192	0.068241	0.17077	0.52059	-0.0042153	-0.03441	0.50409	0.78081	0.97255	0.99054
PXK	10	-0.085468	-1.123	0.17004	0.45246	0.26142	0.99951	-0.11101	-1.4599	0.12183	0.33333	0.14433	0.47089	-0.085094	-1.111	0.17908	0.52525	0.26658	0.53663
IL5	10	-0.014832	-0.19958	0.96944	0.9912	0.84181	0.99951	-0.015832	-0.21318	0.82437	0.91393	0.83119	0.95402	-0.12486	-1.6685	0.0904	0.39011	0.095217	0.31345
CDC42SE2	10	-0.031205	-0.48302	0.76625	0.90682	0.62908	0.99951	-0.082997	-1.2849	0.24365	0.4926	0.19882	0.56402	0.02589	0.3998	0.68661	0.88148	0.68931	0.86213
JAK2	10	-0.057133	-0.77178	0.41369	0.70644	0.44024	0.99951	-0.018092	-0.24484	0.7938	0.89752	0.80658	0.9487	-0.11025	-1.4745	0.1158	0.42971	0.14035	0.38193
CES1	10	-0.1165	-1.5487	0.064141	0.29045	0.12145	0.87757	-0.11273	-1.5009	0.11451	0.31933	0.13338	0.4578	-0.066544	-0.87637	0.24322	0.60622	0.38083	0.66422
CKM	10	-0.050075	-0.84911	0.49376	0.7591	0.39582	0.99951	-0.10129	-1.7192	0.15583	0.38552	0.085579	0.35374	-0.12724	-2.1362	0.084374	0.37192	0.032662	0.17604
TWF2	9	-0.02474	-0.21057	0.8588	0.94505	0.83322	0.99951	0.076166	0.64844	0.27938	0.52679	0.5167	0.82156	0.10239	0.87031	0.85493	0.93682	0.38413	0.66792
NR1H4	10	0.076214	0.88537	0.065863	0.29423	0.37596	0.99951	0.13011	1.5129	0.048214	0.1908	0.1303	0.45515	-0.27482	-3.1493	0.0030133	0.061947	0.0016365	0.024609
GABRA2	10	0.016801	0.15689	0.51356	0.77027	0.87533	0.99951	0.045986	0.4298	0.47525	0.71382	0.66734	0.89427	0.0064843	0.060141	0.56263	0.81029	0.95204	0.98735
ARF6	10	0.079824	0.97417	0.057254	0.26962	0.32997	0.99951	0.10755	1.313	0.10375	0.30201	0.18918	0.55009	0.043616	0.53058	0.79079	0.91754	0.59571	0.81231
CHRNE	10	-0.15585	-2.0902	0.012053	0.09396	0.0366	0.52483	-0.14094	-1.8918	0.060267	0.21909	0.058515	0.28502	-0.1675	-2.233	0.03573	0.23988	0.025547	0.14836
SLC22A6	10	-0.032107	-0.69005	0.75248	0.90289	0.49017	0.99951	-0.005545	-0.11918	0.93844	0.96889	0.90513	0.9677	-0.17449	-3.7458	0.031425	0.22393	0.00017984	0.005356
SST	10	-0.023394	-0.16309	0.89066	0.96143	0.87045	0.99951	-0.01206	-0.084193	0.8644	0.9292	0.9329	0.98016	0.15878	1.0994	0.53638	0.79515	0.27157	0.54086
PPP1R3C	10	0.018731	0.23165	0.48687	0.75449	0.81681	0.99951	0.0059614	0.073778	0.91563	0.95856	0.94119	0.98044	-0.012991	-0.1596	0.46406	0.76076	0.8732	0.9558
S100A7	10	-0.02834	-0.18823	0.80585	0.91946	0.8507	0.99951	-0.028522	-0.18965	0.67241	0.82909	0.84959	0.95582	0.31012	2.057	0.083513	0.37165	0.039687	0.19409
GSK3B	10	-0.012876	-0.1108	0.94016	0.98334	0.91178	0.99951	-0.016789	-0.14458	0.81274	0.90769	0.88505	0.96209	0.26504	2.2721	0.16573	0.51265	0.023078	0.13973
MGAT1	10	0.00040062	0.0060663	0.75979	0.90542	0.99516	0.99972	0.046695	0.70748	0.46836	0.70741	0.47927	0.79695	0.051435	0.77603	0.83556	0.93632	0.43773	0.70811
DYRK1A	10	0.060148	0.78215	0.12656	0.39044	0.43413	0.99951	0.058697	0.76358	0.37452	0.6201	0.44512	0.77747	-0.081343	-1.0555	0.19544	0.54426	0.29119	0.56578
SGK1	10	-0.13141	-0.87137	0.035299	0.19759	0.38355	0.99951	-0.16368	-1.0864	0.029703	0.13636	0.27729	0.65797	0.25584	1.6908	0.18726	0.53761	0.090868	0.30537
BST1	10	0.03643	0.46126	0.29402	0.59825	0.64461	0.99951	0.11489	1.455	0.080499	0.25972	0.14566	0.47277	-0.059169	-0.74753	0.2656	0.6319	0.45474	0.72122
CLK3	10	0.013775	0.088277	0.55661	0.8041	0.92966	0.99951	0.081113	0.5204	0.22428	0.47022	0.60278	0.86937	0.11763	0.74936	0.76195	0.91012	0.45364	0.72122
NADK	10	-0.042043	-0.32685	0.60783	0.8267	0.74378	0.99951	-0.051237	-0.39897	0.46707	0.70638	0.68992	0.90728	0.11187	0.86357	0.79423	0.91754	0.38782	0.67082
CELA2A	10	0.031778	0.40883	0.33147	0.62806	0.68266	0.99951	0.11554	1.4869	0.077056	0.2539	0.13703	0.45947	-0.30079	-3.8525	0.00086096	0.02	0.00011694	0.0038517
TAB2	10	0.065485	0.79478	0.10418	0.36667	0.42674	0.99951	-0.027043	-0.32835	0.69178	0.83873	0.74264	0.92601	0.10009	1.2058	0.86354	0.93826	0.2279	0.5015
PRX	10	-0.10766	-1.3223	0.086957	0.34003	0.18607	0.99473	-0.04792	-0.58888	0.49161	0.72508	0.55594	0.84219	-0.051798	-0.63409	0.29789	0.66284	0.52602	0.76997
CTSF	10	-0.048816	-0.48004	0.50926	0.76669	0.6312	0.99951	0.024017	0.23641	0.69996	0.84205	0.81312	0.9517	-0.009637	-0.094281	0.47783	0.76605	0.92489	0.97581
B4GALT3	10	0.0077396	0.11221	0.65045	0.86048	0.91066	0.99951	0.032794	0.47566	0.6074	0.79092	0.63431	0.88849	-0.041124	-0.59418	0.34008	0.68092	0.55239	0.78765
PKN3	10	-0.13855	-0.69719	0.026259	0.1631	0.48568	0.99951	-0.13049	-0.6577	0.076625	0.2539	0.51073	0.81945	0.45996	2.3091	0.0060267	0.08589	0.020936	0.13216
INPP5J	10	0.060323	0.50073	0.1257	0.39044	0.61656	0.99951	0.11824	0.98276	0.070168	0.23971	0.32573	0.70453	-0.091353	-0.75469	0.161	0.50609	0.45044	0.71866
MTMR9	10	-0.079956	-1.3773	0.20491	0.49635	0.16842	0.97821	-0.010531	-0.18157	0.88119	0.9377	0.85592	0.95626	0.021522	0.3692	0.65691	0.87051	0.71198	0.87496
TYK2	10	-0.083819	-0.77953	0.18209	0.47105	0.43567	0.99951	-0.023898	-0.22256	0.72191	0.85474	0.82388	0.95353	0.010209	0.094427	0.58545	0.82225	0.92477	0.97581
PTPRJ	10	-0.11049	-1.2235	0.078347	0.32042	0.22114	0.99951	-0.095116	-1.0536	0.1808	0.42042	0.29207	0.67849	-0.01975	-0.21824	0.43091	0.74186	0.82724	0.93331
CCKAR	10	0.0089092	0.13391	0.62635	0.8425	0.89348	0.99951	0.10759	1.618	0.10375	0.30201	0.10567	0.39784	0.03374	0.50547	0.73181	0.90186	0.61323	0.82201
CMPK1	10	-0.25056	-1.9687	0	0	0.048986	0.62525	-0.50737	-3.9844	0	0	6.765e-05	0.0011905	-0.031341	-0.24507	0.37882	0.70447	0.8064	0.92304
STK39	10	-0.041617	-0.59192	0.61343	0.83139	0.5539	0.99951	0.066234	0.94322	0.31511	0.55623	0.34557	0.72123	-0.18175	-2.5634	0.027551	0.21477	0.010365	0.085569
PIK3R3	10	0.0046934	0.064344	0.69479	0.87648	0.9487	0.99951	0.13905	1.9083	0.033147	0.14556	0.056357	0.2801	-0.2327	-3.1659	0.0073181	0.097701	0.0015463	0.023788
HTR2A	10	-0.071265	-0.77296	0.26948	0.57379	0.43955	0.99951	-0.0061804	-0.067068	0.93112	0.9678	0.94653	0.98292	-0.0098232	-0.10619	0.47697	0.76519	0.91543	0.97147
CDC14A	10	-0.019097	-0.26082	0.96599	0.98985	0.79423	0.99951	0.020912	0.28575	0.73827	0.8666	0.77507	0.93338	-0.18196	-2.4732	0.027551	0.21477	0.013392	0.10164
PON1	10	0.066198	0.58831	0.10288	0.3653	0.55632	0.99951	0.084997	0.7564	0.20146	0.44276	0.44941	0.77965	-0.057058	-0.5039	0.27292	0.63627	0.61433	0.82219
ALDH5A1	10	-0.084165	-1.2128	0.17951	0.46697	0.2252	0.99951	-0.009757	-0.14072	0.88851	0.94161	0.88809	0.96209	0.069918	1.0035	0.94361	0.97683	0.3156	0.59443
BGLAP	8	-0.024632	-0.32729	0.87172	0.95249	0.74345	0.99951	0.032598	0.43322	0.66466	0.827	0.66485	0.89427	0.010313	0.13683	0.65131	0.86705	0.89116	0.96332
ASNA1	10	-0.033858	-0.37097	0.72191	0.88918	0.71066	0.99951	-0.15666	-1.7167	0.037452	0.15732	0.086033	0.35498	-0.030326	-0.33084	0.38313	0.70728	0.74077	0.89346
KYNU	10	-0.051642	-0.59605	0.47396	0.74543	0.55114	0.99951	-0.030184	-0.34869	0.65605	0.82245	0.72732	0.9188	0.0018204	0.020894	0.53508	0.79476	0.98333	0.99245
CHRND	10	-0.12876	-2.3428	0.038743	0.2093	0.019138	0.31756	-0.10832	-1.9712	0.12957	0.34354	0.048699	0.25422	-0.15507	-2.8167	0.046492	0.27692	0.0048513	0.054707
LIMK1	10	0.0054177	0.084886	0.68102	0.87115	0.93235	0.99951	0.069713	1.0924	0.29057	0.53712	0.27465	0.65437	-0.25487	-3.9861	0.0051657	0.082759	6.7168e-05	0.0025579
AMHR2	10	-0.1331	-2.0063	0.033147	0.19012	0.044824	0.59842	-0.14599	-2.2023	0.052949	0.20264	0.027645	0.1774	-0.03781	-0.56682	0.35299	0.68677	0.57083	0.79623
ADRA1B	10	-0.12713	-1.7765	0.041756	0.22299	0.075654	0.74785	-0.11775	-1.6456	0.10288	0.30025	0.099853	0.3834	-0.034086	-0.47584	0.3672	0.6969	0.63419	0.83327
PRKCD	10	0.004398	0.063092	0.69867	0.87648	0.94969	0.99951	0.089203	1.2798	0.18381	0.42277	0.2006	0.5676	-0.066159	-0.94795	0.2458	0.60809	0.34316	0.62471
DECR1	10	0.01551	0.17448	0.5325	0.7869	0.86149	0.99951	0.097337	1.0972	0.13991	0.35991	0.27255	0.6529	-0.19684	-2.1865	0.022385	0.19847	0.028777	0.16228
PDE9A	10	-0.037544	-0.43907	0.66681	0.86295	0.66061	0.99951	-0.027328	-0.31977	0.6879	0.83797	0.74914	0.93062	0.086943	1.013	0.94318	0.97683	0.31105	0.58841
PARP15	10	0.071695	1.3187	0.077486	0.31972	0.18725	0.99473	0.10646	1.9584	0.10891	0.309	0.050179	0.26078	-0.12598	-2.3141	0.086096	0.37523	0.02066	0.13113
CDC25C	10	-0.044659	-0.53682	0.56995	0.81227	0.59139	0.99951	-0.10822	-1.3027	0.12957	0.34354	0.19269	0.55673	0.095671	1.1395	0.88808	0.95247	0.2545	0.52634
MTHFD2	10	-0.14161	-1.593	0.023246	0.15211	0.11115	0.85667	-0.1197	-1.3477	0.098579	0.29449	0.17776	0.53222	-0.18681	-2.0885	0.02669	0.21356	0.036755	0.18651
CDK17	10	-0.021832	-0.13996	0.91261	0.9707	0.88869	0.99951	0.04556	0.29255	0.47998	0.71889	0.76987	0.93241	0.096286	0.61309	0.88549	0.95099	0.53981	0.77839
HRH4	10	0.018115	0.23834	0.49591	0.75989	0.81162	0.99951	0.076595	1.0081	0.24709	0.49826	0.31339	0.69598	-0.017278	-0.22723	0.44382	0.7471	0.82025	0.92752
CSNK1G3	10	-0.088128	-0.94257	0.15669	0.43489	0.3459	0.99951	-0.14021	-1.4998	0.060697	0.21928	0.13366	0.45795	0.20702	2.2117	0.32932	0.67639	0.02699	0.15443
EPHA10	10	-0.11104	-0.92583	0.076625	0.31786	0.35453	0.99951	-0.11547	-0.964	0.10934	0.309	0.33505	0.71198	0.1805	1.4973	0.43866	0.74652	0.13432	0.37336
CYP2C8	10	-0.10762	-1.2336	0.087387	0.34003	0.21733	0.99951	-0.054379	-0.6238	0.43995	0.68337	0.53276	0.82887	0.14043	1.6051	0.62979	0.85058	0.10847	0.32896
CFD	10	-0.21002	-1.682	0.00086096	0.010638	0.092577	0.80615	-0.18893	-1.5144	0.014636	0.083538	0.12993	0.45455	0.26899	2.1498	0.1554	0.49931	0.031569	0.17249
TSPO	10	-0.033282	-0.28965	0.73181	0.89314	0.77208	0.99951	-0.077592	-0.67569	0.27723	0.52679	0.49923	0.81043	0.309	2.6808	0.083943	0.37192	0.0073455	0.070162
SCN4B	10	-0.020454	-0.1912	0.9393	0.98333	0.84837	0.99951	-0.039064	-0.3654	0.57598	0.7761	0.71482	0.9164	0.03496	0.32494	0.73913	0.90326	0.74523	0.89604
DUSP12	10	-0.047277	-0.57019	0.53336	0.78717	0.56855	0.99951	-0.13765	-1.6605	0.065002	0.22914	0.096816	0.37926	0.099482	1.1963	0.86913	0.94126	0.23159	0.50373
TMLHE	10	0.089667	1.235	0.034869	0.19613	0.21685	0.99951	0.1831	2.5224	0.0077486	0.052023	0.011655	0.09025	-0.057235	-0.78651	0.27249	0.63627	0.43157	0.70368
PPP1R12A	10	-0.65418	-4.2865	0	0	1.8148e-05	0.0030112	-0.94178	-6.1634	0	0	7.1218e-10	7.9756e-08	-0.51007	-3.3093	0	0	0.0009352	0.017106
PTS	10	0.043462	0.3459	0.226	0.51929	0.72942	0.99951	0.11076	0.88318	0.094705	0.28986	0.37714	0.73776	0.11882	0.9369	0.75807	0.90876	0.34881	0.62875
PLA2G2E	10	-0.092599	-1.1817	0.13474	0.39924	0.23731	0.99951	-0.021902	-0.2797	0.74688	0.87186	0.7797	0.93508	-0.11019	-1.3992	0.1158	0.42971	0.16175	0.41109
AMT	10	-0.14923	-1.6346	0.016789	0.12112	0.10213	0.83243	-0.16803	-1.8419	0.02712	0.13071	0.065497	0.30467	-0.019453	-0.212	0.43177	0.74186	0.83211	0.93834
MS4A2	10	0.034758	0.42994	0.30951	0.60932	0.66724	0.99951	0.071214	0.8816	0.27938	0.52679	0.37799	0.73776	-0.19758	-2.4257	0.022385	0.19847	0.015279	0.10954
ENPP2	10	0.065292	0.60128	0.10461	0.36707	0.54766	0.99951	0.097639	0.90058	0.13904	0.35849	0.36781	0.73599	0.094213	0.86074	0.89669	0.95638	0.38938	0.67113
ACE2	10	0.062352	0.62526	0.11537	0.37588	0.5318	0.99951	0.1859	1.8678	0.0060267	0.04321	0.06179	0.29474	-0.078975	-0.78385	0.20189	0.55112	0.43313	0.70368
CSK	10	0.0015294	0.010565	0.74645	0.90078	0.99157	0.99951	-0.038133	-0.26378	0.5833	0.78021	0.79195	0.93824	0.12209	0.83581	0.73913	0.90326	0.40326	0.68478
KLK6	10	-0.003005	-0.050446	0.80499	0.91946	0.95977	0.99951	0.060375	1.0138	0.36031	0.60784	0.31068	0.69396	-0.16339	-2.7362	0.039173	0.2549	0.0062156	0.063328
DYRK3	10	-0.087575	-0.79722	0.15799	0.43587	0.42532	0.99951	-0.081687	-0.74406	0.25054	0.5	0.45684	0.7844	0.17765	1.6123	0.45329	0.7543	0.10689	0.32672
GLRB	10	-0.037469	-0.38283	0.66767	0.86318	0.70184	0.99951	-0.028168	-0.28794	0.678	0.83289	0.77339	0.93241	0.084506	0.86069	0.9548	0.98272	0.38941	0.67113
FPGS	10	0.0039098	0.039747	0.70814	0.88298	0.96829	0.99951	-0.015958	-0.16242	0.82307	0.91393	0.87098	0.96015	0.10633	1.0738	0.82867	0.93586	0.28292	0.55508
CDK2	10	0.013132	0.10677	0.56651	0.81134	0.91497	0.99951	0.029842	0.24298	0.64055	0.81046	0.80802	0.94876	0.14436	1.1634	0.60697	0.83284	0.24466	0.5192
G6PC	10	-0.05768	-0.90206	0.40723	0.70126	0.36703	0.99951	0.03211	0.50244	0.61386	0.79443	0.61536	0.87591	-0.10776	-1.6794	0.12269	0.44618	0.093075	0.31024
PPP3R1	10	-0.083087	-0.31463	0.18554	0.47363	0.75304	0.99951	-0.059979	-0.22929	0.39905	0.64509	0.81864	0.95353	0.18864	0.7104	0.40508	0.72163	0.47746	0.73371
EPM2A	10	0.05024	0.53893	0.17693	0.46232	0.58993	0.99951	0.085906	0.92205	0.19673	0.43649	0.3565	0.72909	-0.12298	-1.3117	0.094705	0.39464	0.18961	0.45222
NDUFS4	10	-0.068632	-0.81578	0.29445	0.59825	0.41462	0.99951	-0.12598	-1.4979	0.088678	0.27876	0.13417	0.45833	-0.090363	-1.0697	0.16444	0.5107	0.28474	0.5567
WARS2	10	0.037387	0.28279	0.28282	0.58608	0.77734	0.99951	0.035683	0.27002	0.5734	0.77397	0.78714	0.93771	-0.24057	-1.8078	0.0060267	0.08589	0.070644	0.26426
PI4KB	10	-0.28387	-2.5545	0	0	0.010635	0.20881	-0.44694	-4.022	0	0	5.7718e-05	0.0010475	-0.046419	-0.41616	0.31941	0.67455	0.67729	0.85555
CDA	10	-0.031623	-0.38734	0.75936	0.90542	0.6985	0.99951	-0.0039681	-0.048651	0.9591	0.98107	0.9612	0.98843	-0.010247	-0.12489	0.4731	0.7621	0.90061	0.96837
LCK	10	-0.25056	-2.1927	0	0	0.028328	0.42731	-0.26897	-2.356	0.00086096	0.0074349	0.018472	0.13162	0.23683	2.0682	0.2359	0.59956	0.03862	0.19147
PPM1B	10	0.01317	0.20212	0.56651	0.81134	0.83983	0.99951	0.11488	1.7643	0.080499	0.25972	0.077688	0.33336	-0.12808	-1.9531	0.083513	0.37165	0.050803	0.21855
NFE2L1	10	-0.011894	-0.18544	0.92639	0.97685	0.85289	0.99951	0.01353	0.21108	0.8248	0.91393	0.83282	0.95402	-0.086964	-1.3484	0.1752	0.52102	0.17752	0.43354
PDE6H	10	0.044875	0.98398	0.21653	0.50808	0.32513	0.99951	0.027287	0.59836	0.66681	0.82704	0.5496	0.83939	0.034329	0.75196	0.73483	0.90227	0.45207	0.72005
NEK6	10	-0.027995	-0.41509	0.81059	0.91946	0.67807	0.99951	-0.02326	-0.34507	0.73396	0.86329	0.73005	0.92039	-0.11073	-1.6334	0.1158	0.42971	0.10238	0.31966
PIK3CA	10	-0.12608	-1.3108	0.044339	0.23146	0.18993	0.99473	-0.25928	-2.6961	0.00086096	0.0074349	0.0070164	0.060367	-0.064152	-0.66363	0.25269	0.6166	0.50693	0.75681
SLC16A3	10	-0.16225	-2.0213	0.0073181	0.062044	0.04325	0.59022	-0.22494	-2.8029	0.0034438	0.026578	0.0050642	0.046683	0.05851	0.72716	0.86827	0.94076	0.46713	0.73172
FGG	10	0.075672	1.1276	0.066724	0.2958	0.25948	0.99951	0.10386	1.5478	0.11795	0.32619	0.12167	0.43539	0.02572	0.38281	0.68618	0.88148	0.70186	0.86945
DPP6	10	0.080405	1.1462	0.055101	0.26283	0.25171	0.99951	0.065973	0.94108	0.31597	0.55733	0.34666	0.72123	-0.024889	-0.35257	0.40938	0.72595	0.72441	0.88286
PIKFYVE	10	0.040386	0.36299	0.25613	0.55712	0.71662	0.99951	0.10498	0.94393	0.11494	0.31938	0.34521	0.72123	0.087468	0.78419	0.94102	0.97683	0.43293	0.70368
PIK3CG	10	-0.0069745	-0.047626	0.86096	0.94523	0.96201	0.99951	-0.026845	-0.18362	0.69479	0.83975	0.85432	0.95582	0.13837	0.93731	0.64399	0.86324	0.3486	0.62875
CMA1	9	0.018461	0.21054	0.52303	0.77586	0.83325	0.99951	-0.0092241	-0.10533	0.90271	0.95016	0.91611	0.9729	0.025616	0.28951	0.7034	0.88998	0.77219	0.90413
GLP2R	10	-0.027	-0.21926	0.82609	0.92441	0.82645	0.99951	0.01519	0.12357	0.80672	0.90607	0.90165	0.96701	-0.017519	-0.14137	0.44253	0.74709	0.88757	0.96258
PPP2R2A	10	-0.31005	-2.5577	0	0	0.010538	0.20881	-0.43675	-3.6042	0	0	0.00031315	0.0045466	-0.13789	-1.1294	0.067155	0.33121	0.25874	0.52957
MTNR1A	9	-0.1293	-1.9176	0.04477	0.23282	0.055167	0.65384	-0.031189	-0.46334	0.6978	0.84205	0.64312	0.89182	-0.14119	-2.0744	0.083082	0.37165	0.038047	0.18928
SQLE	10	-0.87273	-5.1802	0	0	2.2162e-07	0.00017161	-1.1114	-6.5892	0	0	4.4222e-11	7.0488e-09	-0.30566	-1.8053	0.00043048	0.011494	0.071026	0.26485
COX5B	10	-0.087561	-0.68332	0.15799	0.43587	0.4944	0.99951	0.03983	0.31118	0.53767	0.75286	0.75567	0.93241	-0.13842	-1.0757	0.067155	0.33121	0.28205	0.55508
IL11RA	10	-0.0030828	-0.033281	0.80585	0.91946	0.97345	0.99951	0.011448	0.12362	0.84976	0.92676	0.90162	0.96701	0.14899	1.6063	0.58201	0.81939	0.1082	0.32896
KCNA1	10	0.039124	0.46182	0.27206	0.57703	0.64421	0.99951	0.014541	0.17183	0.81446	0.90831	0.86357	0.95729	-0.10702	-1.2499	0.12398	0.4479	0.21132	0.48296
ACP1	10	0.069205	1.4433	0.089539	0.3438	0.14894	0.9287	0.093282	1.9455	0.16358	0.39958	0.051712	0.26636	-0.12897	-2.6869	0.081791	0.37037	0.0072119	0.070098
GABRQ	10	0.10491	1.5927	0.013775	0.1039	0.11122	0.85667	0.20113	3.0551	0.0021524	0.017544	0.0022499	0.024653	-0.037635	-0.56872	0.35342	0.68703	0.56954	0.79623
PTP4A3	10	0.0030244	0.035767	0.72406	0.89042	0.97147	0.99951	-0.018907	-0.22362	0.78261	0.89118	0.82305	0.95353	-0.038789	-0.45824	0.34955	0.68523	0.64678	0.83915
NDUFV1	10	-0.19288	-2.3666	0.0021524	0.025	0.017954	0.30443	-0.30646	-3.7605	0	0	0.00016958	0.0026263	-0.11535	-1.4109	0.1059	0.41345	0.15828	0.40714
IRGC	10	0.036895	0.28549	0.28842	0.59397	0.77527	0.99951	0.022692	0.17572	0.71287	0.84836	0.86051	0.95626	0.24722	1.9043	0.20663	0.55749	0.056876	0.2322
CYSLTR1	10	0.091956	0.92413	0.029703	0.17692	0.35542	0.99951	0.20722	2.0859	0.00086096	0.0074349	0.036992	0.21166	-0.065373	-0.65083	0.24796	0.61017	0.51515	0.76369
LATS1	10	0.07143	0.60043	0.078347	0.32042	0.54822	0.99951	0.089067	0.74918	0.18381	0.42277	0.45375	0.78388	0.24063	2.0151	0.22471	0.58324	0.043896	0.20435
NT5C	10	-0.013211	-0.16079	0.94705	0.98699	0.87226	0.99951	0.041069	0.50006	0.52734	0.74832	0.61703	0.87614	0.024349	0.29542	0.67972	0.88148	0.76767	0.90111
